elapsed_time(s),inner_steps,pdcp_iterations,outer_steps,pd_gap
1.9675e-5,0,0,1,0.01689531624479761
31.4008,5437086,5403,11,0.007457124124997815
37.9091,6555371,6974,21,0.004918652076413756
43.6193,7511354,8431,31,0.003753316215956544
48.5704,8335200,9782,41,0.003078987674277575
52.9081,9058965,11053,51,0.002627028266855366
56.6587,9674949,12209,61,0.0023007123351232346
59.8535,10198127,13262,71,0.0020519954214366816
63.115,10705414,14287,81,0.00186316842966806
65.8268,11199728,15303,91,0.0017214723750282653
68.6033,11701825,16327,101,0.001605972234246843
71.6027,12236459,17410,111,0.001507677020349537
74.384,12732154,18438,121,0.0014351107717840324
76.9841,13194678,19425,131,0.0013779908373204516
79.5991,13658119,20425,141,0.0013248720240983947
82.199,14120410,21438,151,0.0012754726580286643
84.7776,14579084,22457,161,0.0012286397554515764
87.2884,15022456,23442,171,0.0011861790652939967
89.7488,15454554,24428,181,0.0011500519711476597
92.1888,15883230,25416,191,0.0011187929774049525
94.7416,16331951,26419,201,0.001088487222187835
97.1679,16750313,27399,211,0.0010581688952040966
99.6623,17170460,28398,221,0.0010280896605088137
102.258,17611910,29406,231,0.0010003021696666382
104.624,18018906,30383,241,0.0009734049951777481
107.207,18466293,31394,251,0.0009496194681712002
109.505,18861397,32350,261,0.0009263087947616773
112.074,19298175,33352,271,0.0009034644930703724
114.645,19730581,34345,281,0.0008811345806545717
116.866,20112189,35281,291,0.0008591363928183698
119.25,20520560,36261,301,0.0008376856619215813
121.631,20924671,37226,311,0.000816778488354505
123.96,21320985,38177,321,0.0007982290763705359
126.463,21745769,39180,331,0.0007794644721508901
129.056,22183365,40200,341,0.0007607992287889283
131.417,22581580,41167,351,0.0007431070966108788
133.888,22999105,42162,361,0.0007278212012648728
136.077,23363231,43073,371,0.0007148405057126155
138.445,23758078,44023,381,0.0007017401859942384
140.822,24155717,44971,391,0.0006908310785424567
143.014,24516815,45874,401,0.0006797201127690215
145.067,24861433,46771,411,0.0006683191272512604
147.205,25217060,47676,421,0.0006567478646938765
