elapsed_time(s),inner_steps,outer_steps,pd_gap
1.5548e-5,0,1,0.01689531624479761
0.0692426,20000,10001,0.012603681643090473
0.0977978,40000,20001,0.010883932341735578
0.127092,60000,30001,0.00977856694853165
0.156956,80000,40001,0.008971670093912133
0.185516,100000,50001,0.00834541492438747
0.214556,120000,60001,0.00783748855489412
0.244577,140000,70001,0.007420569579706304
0.273799,160000,80001,0.007069590479053299
0.303576,180000,90001,0.0067626258443875525
0.332997,200000,100001,0.006490486398595808
0.361955,220000,110001,0.006246319833176894
0.392014,240000,120001,0.006025485732129287
0.422517,260000,130001,0.005829716668104244
0.453366,280000,140001,0.005661718166762015
0.482461,300000,150001,0.005507227572382664
0.51221,320000,160001,0.005364282307007244
0.543465,340000,170001,0.00523180678211051
0.573577,360000,180001,0.005109518062650399
0.605206,380000,190001,0.004996067033192279
0.635307,400000,200001,0.004889857889324551
0.664756,420000,210001,0.004790054191793309
0.69526,440000,220001,0.0046964627179814835
0.724981,460000,230001,0.004611193278108572
0.754955,480000,240001,0.0045304289611878806
0.785408,500000,250001,0.004453749977130996
0.815131,520000,260001,0.004380779700588795
0.845946,540000,270001,0.004311201678300319
0.875529,560000,280001,0.0042447629316922225
0.905675,580000,290001,0.004183661386265539
0.938047,600000,300001,0.00412549036865557
0.967918,620000,310001,0.004069751533881803
0.998587,640000,320001,0.004016262758177258
1.02845,660000,330001,0.003964860610579409
1.05785,680000,340001,0.003915400811238654
1.08826,700000,350001,0.003867768279068458
1.118,720000,360001,0.0038218463171462366
1.14857,740000,370001,0.0037775249406565934
1.17841,760000,380001,0.0037347043412563515
1.20951,780000,390001,0.003693300246879328
1.24045,800000,400001,0.00365326456747026
1.27119,820000,410001,0.003614548294198985
1.30106,840000,420001,0.003577095411887882
1.3314,860000,430001,0.003540832230274505
1.36115,880000,440001,0.0035056909535761526
1.3933,900000,450001,0.0034716092089470078
1.42484,920000,460001,0.0034385293617025334
1.46787,940000,470001,0.0034063982946090053
1.50577,960000,480001,0.0033751666538219816
1.53773,980000,490001,0.003344788798127331
1.56882,1000000,500001,0.0033152222714552936
1.59876,1020000,510001,0.0032864304246149386
1.62912,1040000,520001,0.0032583905224285083
1.66044,1060000,530001,0.003231068984315657
1.69093,1080000,540001,0.003204432448728499
1.72167,1100000,550001,0.003178453475336202
1.75219,1120000,560001,0.003153108425243658
1.78228,1140000,570001,0.0031283783830160696
1.81332,1160000,580001,0.0031042408000666495
1.84413,1180000,590001,0.0030806706628439783
1.87507,1200000,600001,0.003057644442986158
1.90525,1220000,610001,0.0030351399612023756
1.93768,1240000,620001,0.0030131361237349785
1.96996,1260000,630001,0.002991612973540633
2.0,1280000,640001,0.002970551807052073
2.03091,1300000,650001,0.002949934708041356
2.06207,1320000,660001,0.0029297448046190465
2.09194,1340000,670001,0.002909966129607325
2.12348,1360000,680001,0.002890583375776355
2.15415,1380000,690001,0.002871582025516288
2.18532,1400000,700001,0.0028529483856527833
2.21713,1420000,710001,0.002834669338649046
2.24812,1440000,720001,0.002816732420078719
2.27971,1460000,730001,0.0027991256935822346
2.30962,1480000,740001,0.0027818378840661906
2.34009,1500000,750001,0.0027648581417484535
2.37156,1520000,760001,0.002748176138246485
2.4067,1540000,770001,0.002731781974180829
2.43944,1560000,780001,0.0027156662612462783
2.47093,1580000,790001,0.002699819912606743
2.50115,1600000,800001,0.0026842344134604176
2.53253,1620000,810001,0.002668901401097056
2.5635,1640000,820001,0.002653812979736044
2.5937,1660000,830001,0.0026389615565955236
2.625,1680000,840001,0.0026243398885155544
2.65583,1700000,850001,0.002609940970084032
2.68729,1720000,860001,0.0025957582359068115
2.71776,1740000,870001,0.0025817856342221085
2.74927,1760000,880001,0.002568017419405263
2.78197,1780000,890001,0.002554448046127882
2.81426,1800000,900001,0.0025410722742643683
2.84723,1820000,910001,0.002527884986454742
2.87901,1840000,920001,0.0025148812651902257
2.91032,1860000,930001,0.002502056404710677
2.94303,1880000,940001,0.0024894058793696622
2.97518,1900000,950001,0.002476990141572268
3.00786,1920000,960001,0.0024648044386411834
3.03928,1940000,970001,0.002452778587066197
3.07175,1960000,980001,0.0024409087539322364
3.10456,1980000,990001,0.002429191174173416
3.13583,2000000,1000001,0.0024176222820049623
3.16677,2020000,1010001,0.0024061985736764813
3.19888,2040000,1020001,0.0023949167558638094
3.22921,2060000,1030001,0.0023837735645196798
3.26178,2080000,1040001,0.0023727658853246476
3.29238,2100000,1050001,0.0023618906914031085
3.32297,2120000,1060001,0.002351145062907109
3.3544,2140000,1070001,0.0023405261679420603
3.385,2160000,1080001,0.002330031287368797
3.4159,2180000,1090001,0.0023196577611610085
3.44582,2200000,1100001,0.0023094030656012326
3.47637,2220000,1110001,0.002299264796651327
3.5071,2240000,1120001,0.002289240572432261
3.53667,2260000,1130001,0.002279328162376429
3.56735,2280000,1140001,0.002269525260819222
3.59735,2300000,1150001,0.0022598297055816032
3.62712,2320000,1160001,0.0022502393723446805
3.65788,2340000,1170001,0.0022407522066221312
3.68818,2360000,1180001,0.0022313662106428662
3.71813,2380000,1190001,0.0022220794503361938
3.74941,2400000,1200001,0.002212890016709882
3.78012,2420000,1210001,0.002203796110239291
3.81087,2440000,1220001,0.0021947959093927254
3.84044,2460000,1230001,0.002185887691228251
3.87092,2480000,1240001,0.0021770697515197234
3.90148,2500000,1250001,0.002168340461726242
3.93092,2520000,1260001,0.002159698205426738
3.96102,2540000,1270001,0.002151141446343194
3.99099,2560000,1280001,0.002142668631478672
4.02092,2580000,1290001,0.0021342782706725
4.05136,2600000,1300001,0.0021259689248894122
4.08131,2620000,1310001,0.0021177391949706945
4.1117,2640000,1320001,0.0021095877025039123
4.14093,2660000,1330001,0.0021015894603359023
4.17079,2680000,1340001,0.0020936667083878875
4.20237,2700000,1350001,0.0020858176053452967
4.23232,2720000,1360001,0.0020780414466910046
4.26355,2740000,1370001,0.0020703374355205487
4.2941,2760000,1380001,0.0020627043562479377
4.32351,2780000,1390001,0.0020551410371904867
4.35391,2800000,1400001,0.0020476463572463733
4.38389,2820000,1410001,0.0020402191591366303
4.41373,2840000,1420001,0.002032858351806147
4.44407,2860000,1430001,0.002025604968695525
4.47396,2880000,1440001,0.0020184506115891107
4.50447,2900000,1450001,0.0020113587795454243
4.5341,2920000,1460001,0.0020043284731650103
4.56428,2940000,1470001,0.001997358725154906
4.59488,2960000,1480001,0.0019904485905804913
4.62455,2980000,1490001,0.001983597119066923
4.65484,3000000,1500001,0.001976803528283744
4.68592,3020000,1510001,0.001970067348528559
4.71551,3040000,1520001,0.001963388228903339
4.74701,3060000,1530001,0.001956765340261759
4.77758,3080000,1540001,0.0019501978360398266
4.80753,3100000,1550001,0.0019436855162498195
4.83803,3120000,1560001,0.0019372278745412516
4.86858,3140000,1570001,0.00193082407737908
4.89951,3160000,1580001,0.0019244733338610771
4.92948,3180000,1590001,0.0019182833775322032
4.95953,3200000,1600001,0.0019121806185355313
4.99067,3220000,1610001,0.0019061271427241577
5.02083,3240000,1620001,0.0019001222175278887
5.0527,3260000,1630001,0.0018941651283225416
5.083,3280000,1640001,0.0018882551846105648
5.11287,3300000,1650001,0.0018823916828552504
5.14485,3320000,1660001,0.0018765739832918484
5.17668,3340000,1670001,0.0018708013892753065
5.20807,3360000,1680001,0.0018650732924145059
5.2403,3380000,1690001,0.0018593890779696007
5.27221,3400000,1700001,0.0018537483235338478
5.30343,3420000,1710001,0.0018481504716057837
5.3335,3440000,1720001,0.0018425949210113934
5.36446,3460000,1730001,0.0018370810636887652
5.39673,3480000,1740001,0.0018316083243587536
5.42799,3500000,1750001,0.0018261761177761505
5.46003,3520000,1760001,0.0018207838920537758
5.49178,3540000,1770001,0.0018154310942151367
5.52179,3560000,1780001,0.001810117179294992
5.55288,3580000,1790001,0.0018048416464337396
5.58378,3600000,1800001,0.0017996039883683545
5.61589,3620000,1810001,0.0017944036731489862
5.64733,3640000,1820001,0.0017892402088011353
5.67914,3660000,1830001,0.0017841130879097632
5.71146,3680000,1840001,0.0017790218467393787
5.74286,3700000,1850001,0.0017739662287655413
5.77486,3720000,1860001,0.0017689459075617905
5.80809,3740000,1870001,0.0017639604146411272
5.83949,3760000,1880001,0.0017590092938448171
5.87175,3780000,1890001,0.0017540920831441102
5.90333,3800000,1900001,0.0017492085732901605
5.93439,3820000,1910001,0.0017443585319327649
5.96644,3840000,1920001,0.0017396154246023306
5.99819,3860000,1930001,0.0017349568244525992
6.0303,3880000,1940001,0.0017303276288791799
6.06188,3900000,1950001,0.0017257274568066062
6.0937,3920000,1960001,0.001721155922693703
6.12591,3940000,1970001,0.0017166126659524956
6.15673,3960000,1980001,0.0017120973148278245
6.18785,3980000,1990001,0.0017076095210811007
6.21825,4000000,2000001,0.0017031490294861316
6.2487,4020000,2010001,0.0016987155140145722
6.28133,4040000,2020001,0.0016943086267774167
6.313,4060000,2030001,0.0016899280344506596
6.3447,4080000,2040001,0.0016855734142166116
6.37688,4100000,2050001,0.0016812444338400682
6.40853,4120000,2060001,0.001676940781383635
6.44091,4140000,2070001,0.0016726621402245023
6.47215,4160000,2080001,0.0016684082117336893
6.50382,4180000,2090001,0.001664178694760203
6.53522,4200000,2100001,0.001659973286694821
6.56641,4220000,2110001,0.0016557917049442109
6.59876,4240000,2120001,0.0016516336584812986
6.63059,4260000,2130001,0.001647498871183057
6.66199,4280000,2140001,0.0016433870702830897
6.69441,4300000,2150001,0.0016392979831572878
6.72609,4320000,2160001,0.0016352313471516226
6.75831,4340000,2170001,0.0016311868998813307
6.78979,4360000,2180001,0.001627164387113536
6.82143,4380000,2190001,0.001623163545811119
6.85375,4400000,2200001,0.001619184154343237
6.88518,4420000,2210001,0.0016152259540741804
6.91686,4440000,2220001,0.0016112887066961831
6.94906,4460000,2230001,0.0016073721866665391
6.98047,4480000,2240001,0.001603476163838725
7.01224,4500000,2250001,0.0015996004078247614
7.04416,4520000,2260001,0.00159574469949322
7.07564,4540000,2270001,0.0015919088168405999
7.1077,4560000,2280001,0.0015880925491515742
7.13852,4580000,2290001,0.0015842956902620033
7.16974,4600000,2300001,0.001580518036237849
7.20115,4620000,2310001,0.0015767593681521846
7.23309,4640000,2320001,0.0015730194852300993
7.26568,4660000,2330001,0.0015692978845541338
7.29729,4680000,2340001,0.0015655942759325876
7.32953,4700000,2350001,0.0015619084926137682
7.3611,4720000,2360001,0.0015582403561246756
7.39281,4740000,2370001,0.0015545897171123108
7.42547,4760000,2380001,0.0015509564000286118
7.45702,4780000,2390001,0.001547340256843572
7.48867,4800000,2400001,0.001543741130751359
7.52097,4820000,2410001,0.0015401588688187182
7.55272,4840000,2420001,0.0015365933264616417
7.58519,4860000,2430001,0.0015330443556502114
7.61649,4880000,2440001,0.0015295118081678355
7.64775,4900000,2450001,0.0015259955468326352
7.67879,4920000,2460001,0.0015224954332926852
7.70899,4940000,2470001,0.0015190113406650472
7.7405,4960000,2480001,0.0015155431265118056
7.77234,4980000,2490001,0.0015120906620914153
7.8038,5000000,2500001,0.0015086538226480213
7.83598,5020000,2510001,0.0015052324838578709
7.86789,5040000,2520001,0.0015018265122420972
7.89981,5060000,2530001,0.0014984358071725955
7.93072,5080000,2540001,0.0014950602280018876
7.96231,5100000,2550001,0.0014916996826876243
7.99493,5120000,2560001,0.001488354093111077
8.02627,5140000,2570001,0.0014850233426125861
8.058,5160000,2580001,0.0014817073431006005
8.09078,5180000,2590001,0.0014784059688366519
8.12223,5200000,2600001,0.001475119107425319
8.15487,5220000,2610001,0.001471846656326603
8.18687,5240000,2620001,0.0014685885168868804
8.21838,5260000,2630001,0.001465344578284792
8.25071,5280000,2640001,0.0014621147532550074
8.28275,5300000,2650001,0.0014588989274275828
8.31528,5320000,2660001,0.001455697029638811
8.34666,5340000,2670001,0.0014525089652140735
8.37846,5360000,2680001,0.001449334607025364
8.41036,5380000,2690001,0.0014461738910745148
8.44238,5400000,2700001,0.0014430267326833186
8.47498,5420000,2710001,0.0014398930283966854
8.50674,5440000,2720001,0.0014367727081278769
8.537,5460000,2730001,0.0014336656891716214
8.56896,5480000,2740001,0.0014305718785497783
8.59969,5500000,2750001,0.0014274912045606838
8.63087,5520000,2760001,0.0014244235853576488
8.66308,5540000,2770001,0.0014213689476620071
8.69482,5560000,2780001,0.0014183272200343905
8.7273,5580000,2790001,0.001415298325081634
8.75878,5600000,2800001,0.0014122821978174126
8.79081,5620000,2810001,0.0014092787635663039
8.82388,5640000,2820001,0.0014062879511795197
8.85556,5660000,2830001,0.0014033096955434945
8.88803,5680000,2840001,0.0014003465151360556
8.91969,5700000,2850001,0.0013974189369817328
8.9512,5720000,2860001,0.0013945035832017474
8.98343,5740000,2870001,0.0013916003932598012
9.01498,5760000,2880001,0.0013887093095170718
9.04783,5780000,2890001,0.0013858302623761688
9.07931,5800000,2900001,0.0013829631988094594
9.11103,5820000,2910001,0.0013801080620935331
9.14309,5840000,2920001,0.0013772647954764673
9.17418,5860000,2930001,0.0013744333409506995
9.20568,5880000,2940001,0.0013716136443335507
9.23785,5900000,2950001,0.0013688056510372353
9.26896,5920000,2960001,0.001366009304625845
9.30117,5940000,2970001,0.0013632245568282152
9.33311,5960000,2980001,0.0013604513551072495
9.36493,5980000,2990001,0.0013576896491724732
9.39696,6000000,3000001,0.0013549393899150892
9.42859,6020000,3010001,0.0013522005276123891
9.4609,6040000,3020001,0.001349473013951009
9.49215,6060000,3030001,0.0013467567981768243
9.5237,6080000,3040001,0.0013440518339906324
9.55603,6100000,3050001,0.0013413580778039273
9.58736,6120000,3060001,0.0013386754824808948
9.61977,6140000,3070001,0.0013360040033575538
9.65154,6160000,3080001,0.001333343596292863
9.68284,6180000,3090001,0.0013306942196654823
9.71518,6200000,3100001,0.0013280558295775732
9.74681,6220000,3110001,0.0013254283799823373
9.77812,6240000,3120001,0.0013228118330166974
9.81032,6260000,3130001,0.0013202061403906184
9.84221,6280000,3140001,0.0013176112117520688
9.87458,6300000,3150001,0.0013150270090908286
9.90595,6320000,3160001,0.0013124535040167987
9.93758,6340000,3170001,0.0013098906787011016
9.96965,6360000,3180001,0.0013073385058756694
10.0006,6380000,3190001,0.0013047969673560915
10.0327,6400000,3200001,0.0013022660384259723
10.0642,6420000,3210001,0.0012997456958203889
10.0952,6440000,3220001,0.001297235920289264
10.1271,6460000,3230001,0.0012947491445399108
10.1585,6480000,3240001,0.001292380541406091
10.1906,6500000,3250001,0.001290023115077343
10.2217,6520000,3260001,0.0012876768389783275
10.2531,6540000,3270001,0.0012853416745464245
10.2851,6560000,3280001,0.0012830175919564344
10.3161,6580000,3290001,0.0012807045594574375
10.3476,6600000,3300001,0.0012784025394941955
10.3797,6620000,3310001,0.0012761115028425887
10.4107,6640000,3320001,0.0012738314253860072
10.4432,6660000,3330001,0.0012715622218143763
10.4748,6680000,3340001,0.0012693034701784112
10.5059,6700000,3350001,0.0012670550010483676
10.5381,6720000,3360001,0.0012648167769871554
10.5701,6740000,3370001,0.0012625887535181821
10.6022,6760000,3380001,0.001260370891625763
10.6333,6780000,3390001,0.0012581631402698648
10.6647,6800000,3400001,0.0012559654697926418
10.6967,6820000,3410001,0.0012537778520523464
10.7283,6840000,3420001,0.0012516003160110648
10.761,6860000,3430001,0.0012494328279428792
10.7928,6880000,3440001,0.00124727534255991
10.8244,6900000,3450001,0.0012451278145406523
10.8571,6920000,3460001,0.0012429902057089336
10.8888,6940000,3470001,0.0012408933645765615
10.9201,6960000,3480001,0.0012388340084600376
10.9523,6980000,3490001,0.0012367846113410623
10.984,7000000,3500001,0.001234745118829204
11.0164,7020000,3510001,0.0012327154901117122
11.0478,7040000,3520001,0.0012306956707444656
11.0793,7060000,3530001,0.0012286856146389944
11.1115,7080000,3540001,0.0012266852679096163
11.143,7100000,3550001,0.0012246945905946202
