elapsed_time(s),inner_steps,outer_steps,pd_gap
1.6773e-5,0,1,0.01689531624479761
0.0645532,20000,10001,0.016875342006301756
0.0916143,40000,20001,0.016855411409721674
0.119034,60000,30001,0.016835455198580145
0.146945,80000,40001,0.016815474046827466
0.173755,100000,50001,0.016795467578480647
0.201876,120000,60001,0.016775436041057575
0.230536,140000,70001,0.01675537942093316
0.25838,160000,80001,0.016735297711696455
0.286813,180000,90001,0.01671519103808935
0.315009,200000,100001,0.016695059383186196
0.342447,220000,110001,0.016674902794394125
0.370896,240000,120001,0.016654721271152473
0.398919,260000,130001,0.016634514877096544
0.427656,280000,140001,0.01661428361895704
0.455185,300000,150001,0.016594027559519164
0.483034,320000,160001,0.016573746732677343
0.511637,340000,170001,0.016553441120459436
0.539587,360000,180001,0.016533110826834473
0.568478,380000,190001,0.016512755852531875
0.59622,400000,200001,0.016492376231354276
0.623758,420000,210001,0.016471972015930238
0.652135,440000,220001,0.016451543213202163
0.679749,460000,230001,0.016431089871033065
0.707261,480000,240001,0.016410612034132813
0.735347,500000,250001,0.016390109731241737
0.763115,520000,260001,0.016369582983465757
0.792091,540000,270001,0.016349031833611156
0.819627,560000,280001,0.016328456314206454
0.84737,580000,290001,0.0163078564799636
0.875976,600000,300001,0.016287232360022344
0.902649,620000,310001,0.016266583983130842
0.930318,640000,320001,0.01624591137790011
0.957299,660000,330001,0.016225214604161986
0.983907,680000,340001,0.016204493678257915
1.0127,700000,350001,0.01618374863265316
1.04091,720000,360001,0.01616297951446414
1.06954,740000,370001,0.016142186359410237
1.09743,760000,380001,0.016121369199203588
1.12558,780000,390001,0.016100528086418087
1.15388,800000,400001,0.016079663040599056
1.18124,820000,410001,0.016058774114025145
1.20932,840000,420001,0.016037861316598442
1.23792,860000,430001,0.01601692471303652
1.26544,880000,440001,0.01599596433943234
1.29392,900000,450001,0.015974980211488594
1.32092,920000,460001,0.015953972377579936
1.34782,940000,470001,0.0159329408739529
1.37489,960000,480001,0.015911885741860525
1.40306,980000,490001,0.015890807015112654
1.43073,1000000,500001,0.0158697047469682
1.45719,1020000,510001,0.015848578953749748
1.48422,1040000,520001,0.015827429684724295
1.5125,1060000,530001,0.015806256982028036
1.53933,1080000,540001,0.015785060875523428
1.56806,1100000,550001,0.01576384141030464
1.59608,1120000,560001,0.015742598606731426
1.62368,1140000,570001,0.01572133253089384
1.65236,1160000,580001,0.01570004320334303
1.68038,1180000,590001,0.01567873068662133
1.70749,1200000,600001,0.01565739498540352
1.73513,1220000,610001,0.015636036186115726
1.76216,1240000,620001,0.0156149089972366
1.78996,1260000,630001,0.015593801885433916
1.81644,1280000,640001,0.015572672218361899
1.84358,1300000,650001,0.015551520005534399
1.87099,1320000,660001,0.015530345277099247
1.8976,1340000,670001,0.015509148050150894
1.92526,1360000,680001,0.015487928338190425
1.95301,1380000,690001,0.015466686173530553
1.97968,1400000,700001,0.015445421567664368
2.00814,1420000,710001,0.015424134556107317
2.03573,1440000,720001,0.015402825159477723
2.06403,1460000,730001,0.015381493402431378
2.09055,1480000,740001,0.01536013931007715
2.1178,1500000,750001,0.015338762914551255
2.14681,1520000,760001,0.01531736423737025
2.17402,1540000,770001,0.015295943309274179
2.20173,1560000,780001,0.015274500156633555
2.23046,1580000,790001,0.015253034814335566
2.25803,1600000,800001,0.015231547312122956
2.28662,1620000,810001,0.015210037681738025
2.3146,1640000,820001,0.015188505948983085
2.34237,1660000,830001,0.01516695215035847
2.37132,1680000,840001,0.015145376319075216
2.39931,1700000,850001,0.015123778483540691
2.4276,1720000,860001,0.015102158679787743
2.4552,1740000,870001,0.015080516935114356
2.48328,1760000,880001,0.015058853293410857
2.51189,1780000,890001,0.01503716778037671
2.53961,1800000,900001,0.015015460439319157
2.56803,1820000,910001,0.014993731298577338
2.59628,1840000,920001,0.014971980389522632
2.62389,1860000,930001,0.014950207758742144
2.65264,1880000,940001,0.014928413437789563
2.68082,1900000,950001,0.014906597460074184
2.7082,1920000,960001,0.014884759864803995
2.73622,1940000,970001,0.014862900688295412
2.76332,1960000,980001,0.014841019969003241
2.79113,1980000,990001,0.014819117740497677
2.81749,2000000,1000001,0.014797194040675163
2.84444,2020000,1010001,0.014775505889031133
2.87215,2040000,1020001,0.014753810505791625
2.8987,2060000,1030001,0.014732094247129028
2.92622,2080000,1040001,0.014710357151313974
2.95308,2100000,1050001,0.014688599252802817
2.97979,2120000,1060001,0.01466682058611865
3.00748,2140000,1070001,0.014645021188988035
3.03467,2160000,1080001,0.014623201094356008
3.06248,2180000,1090001,0.014601360341480097
3.08894,2200000,1100001,0.01457949895907856
3.11663,2220000,1110001,0.014557616994178638
3.14438,2240000,1120001,0.01453571448065412
3.171,2260000,1130001,0.014513791451972444
3.19922,2280000,1140001,0.014491847952082205
3.22766,2300000,1150001,0.014469884005789815
3.25487,2320000,1160001,0.014447899665384458
3.28265,2340000,1170001,0.014425953685027117
3.30977,2360000,1180001,0.014404153731566668
3.33667,2380000,1190001,0.014382334263693836
3.36506,2400000,1200001,0.014360495327799061
3.39319,2420000,1210001,0.014338636949001381
3.42176,2440000,1220001,0.014316759170573212
3.44942,2460000,1230001,0.014294862027537962
3.47728,2480000,1240001,0.014272945555570364
3.506,2500000,1250001,0.014251009796580158
3.53371,2520000,1260001,0.014229054784454465
3.56273,2540000,1270001,0.014207080555644592
3.5905,2560000,1280001,0.014185087149804912
3.61799,2580000,1290001,0.014163208367019068
3.64637,2600000,1300001,0.014141326643869832
3.674,2620000,1310001,0.014119426578859152
3.70157,2640000,1320001,0.014097508216034723
3.72974,2660000,1330001,0.014075571585479061
3.75734,2680000,1340001,0.014053616708936116
3.78576,2700000,1350001,0.0140316436345726
3.81336,2720000,1360001,0.014009652381486618
3.84127,2740000,1370001,0.013987642981452032
3.86932,2760000,1380001,0.013965615462189983
3.89592,2780000,1390001,0.013943569853249523
3.92356,2800000,1400001,0.013921506181073549
3.9503,2820000,1410001,0.013899424482818168
3.97687,2840000,1420001,0.013877324780571213
4.00419,2860000,1430001,0.013855207112758785
4.03093,2880000,1440001,0.013833071508284047
4.05852,2900000,1450001,0.013810918000779564
4.08509,2920000,1460001,0.013788746624072565
4.11212,2940000,1470001,0.013766557407483284
4.13969,2960000,1480001,0.013744350385814768
4.1661,2980000,1490001,0.013722125594003112
4.19304,3000000,1500001,0.01369988306571366
4.22084,3020000,1510001,0.01367762283555229
4.24755,3040000,1520001,0.013655344942274163
4.27508,3060000,1530001,0.013633049417680192
4.30208,3080000,1540001,0.013610736299960076
4.32874,3100000,1550001,0.013588405624313135
4.35609,3120000,1560001,0.013566057427948792
4.38315,3140000,1570001,0.013543691750509856
4.41087,3160000,1580001,0.013521308624711525
4.43727,3180000,1590001,0.013498908091054355
4.46427,3200000,1600001,0.013476490188624572
4.49195,3220000,1610001,0.013454054954148543
4.51842,3240000,1620001,0.013431602424179826
4.54588,3260000,1630001,0.013409132642649346
4.57213,3280000,1640001,0.013386645647255769
4.59818,3300000,1650001,0.013364141477748614
4.62553,3320000,1660001,0.013341620172451182
4.65229,3340000,1670001,0.013319081773116796
4.67871,3360000,1680001,0.013296526320383813
4.70601,3380000,1690001,0.013273953853007364
4.73312,3400000,1700001,0.013251364413498064
4.76067,3420000,1710001,0.013228758042851705
4.78697,3440000,1720001,0.01320646046312125
4.81369,3460000,1730001,0.013184209275390633
4.84104,3480000,1740001,0.013161941642470148
4.86742,3500000,1750001,0.013139657597457914
4.89486,3520000,1760001,0.013117357178415027
4.92137,3540000,1770001,0.013095040423361055
4.94833,3560000,1780001,0.013072811963684455
4.97574,3580000,1790001,0.01305068188299697
5.00282,3600000,1800001,0.013028535800219506
5.03029,3620000,1810001,0.013006373753846617
5.05659,3640000,1820001,0.012984195777031873
5.08317,3660000,1830001,0.012962001909365898
5.1105,3680000,1840001,0.012939792192661654
5.13684,3700000,1850001,0.01291756665629033
5.16359,3720000,1860001,0.012895325343176677
5.19103,3740000,1870001,0.012873082527600567
5.21735,3760000,1880001,0.012851046978382968
5.24494,3780000,1890001,0.012828995969081066
5.27157,3800000,1900001,0.01280692959751651
5.29807,3820000,1910001,0.012784847909846828
5.32538,3840000,1920001,0.012762750945000281
5.35214,3860000,1930001,0.01274063874373348
5.37938,3880000,1940001,0.012718511344692571
5.40594,3900000,1950001,0.012696368788689518
5.4332,3920000,1960001,0.01267421111699261
5.46181,3940000,1970001,0.012652038369573123
5.48894,3960000,1980001,0.01262985058622105
5.51665,3980000,1990001,0.01260764780954347
5.54366,4000000,2000001,0.012585430080342084
5.56966,4020000,2010001,0.012563197439114998
5.59734,4040000,2020001,0.012540949928832918
5.62421,4060000,2030001,0.012518687591729508
5.65094,4080000,2040001,0.012496410469530055
5.6781,4100000,2050001,0.012474118602620276
5.70559,4120000,2060001,0.012451812033750148
5.73297,4140000,2070001,0.01242949080852212
5.75981,4160000,2080001,0.012407154970664636
5.78768,4180000,2090001,0.012384804559127714
5.81617,4200000,2100001,0.012362439617652576
5.84373,4220000,2110001,0.012340062770675784
5.8716,4240000,2120001,0.012317687147185974
5.89923,4260000,2130001,0.012295314429050169
5.92637,4280000,2140001,0.012272944432394269
5.95471,4300000,2150001,0.012250834737144348
5.98263,4320000,2160001,0.012228748476823455
6.01215,4340000,2170001,0.012206679892471853
6.03988,4360000,2180001,0.012184632640865299
6.06795,4380000,2190001,0.012162612505577675
6.0964,4400000,2200001,0.01214061904396661
6.12398,4420000,2210001,0.012118651740820415
6.15221,4440000,2220001,0.012096710097619177
6.18078,4460000,2230001,0.01207479362468774
6.20938,4480000,2240001,0.01205295422679027
6.23936,4500000,2250001,0.012031582263189336
6.26889,4520000,2260001,0.012010367206903504
6.29807,4540000,2270001,0.01198930090976235
6.32806,4560000,2280001,0.011968257590146799
6.35714,4580000,2290001,0.01194728791640161
6.3868,4600000,2300001,0.011926505682067103
6.41555,4620000,2310001,0.0119057452344239
6.4446,4640000,2320001,0.011885161640656951
6.47465,4660000,2330001,0.011864618975780785
6.50327,4680000,2340001,0.011844096844392847
6.53352,4700000,2350001,0.011823594860700207
6.56279,4720000,2360001,0.011803112670937064
6.59151,4740000,2370001,0.011782649925855442
6.62142,4760000,2380001,0.011762206287755064
